| Epoch  | Step  | Training Loss | foodx251-val_cosine_ap |                                                                                                                                                                                                                                  [63/37635]
|:------:|:-----:|:-------------:|:----------------------:|
| 0.0675 | 500   | 0.1152        | -                      |
| 0.1350 | 1000  | 0.1141        | -                      |
| 0.2026 | 1500  | 0.1094        | -                      |
| 0.2701 | 2000  | 0.0829        | -                      |
| 0.3376 | 2500  | 0.0452        | -                      |
| 0.4051 | 3000  | 0.0365        | -                      |
| 0.4727 | 3500  | 0.033         | -                      |
| 0.5402 | 4000  | 0.0317        | -                      |
| 0.6077 | 4500  | 0.0299        | -                      |
| 0.6752 | 5000  | 0.0278        | -                      |
| 0.7427 | 5500  | 0.0265        | -                      |
| 0.8103 | 6000  | 0.0255        | -                      |
| 0.8778 | 6500  | 0.0244        | -                      |
| 0.9453 | 7000  | 0.0238        | -                      |
| 1.0    | 7405  | -             | 0.9274                 |
| 1.0128 | 7500  | 0.0229        | -                      |
| 1.0804 | 8000  | 0.0221        | -                      |
| 1.1479 | 8500  | 0.0215        | -                      |
| 1.2154 | 9000  | 0.0211        | -                      |
| 1.2829 | 9500  | 0.0204        | -                      |
| 1.3504 | 10000 | 0.0197        | -                      |
| 1.4180 | 10500 | 0.0194        | -                      |
| 1.4855 | 11000 | 0.0191        | -                      |
| 1.5530 | 11500 | 0.0187        | -                      |
| 1.6205 | 12000 | 0.0186        | -                      |
| 1.6880 | 12500 | 0.0185        | -                      |
| 1.7556 | 13000 | 0.0184        | -                      |
| 1.8231 | 13500 | 0.0181        | -                      |
| 1.8906 | 14000 | 0.018         | -                      |
| 1.9581 | 14500 | 0.018         | -                      |
| 2.0    | 14810 | -             | 0.9532                 |
| 2.0257 | 15000 | 0.0181        | -                      |
| 2.0932 | 15500 | 0.018         | -                      |
| 2.1607 | 16000 | 0.0179        | -                      |
| 2.2282 | 16500 | 0.0178        | -                      |
| 2.2957 | 17000 | 0.0178        | -                      |
| 2.3633 | 17500 | 0.0176        | -                      |
| 2.4308 | 18000 | 0.0177        | -                      |
| 2.4983 | 18500 | 0.0176        | -                      |
| 2.5658 | 19000 | 0.0178        | -                      |
| 2.6334 | 19500 | 0.0178        | -                      |
| 2.7009 | 20000 | 0.0175        | -                      |
| 2.7684 | 20500 | 0.0177        | -                      |
| 2.8359 | 21000 | 0.0175        | -                      |
| 2.9034 | 21500 | 0.0179        | -                      |
| 2.9710 | 22000 | 0.0178        | -                      |
| 3.0    | 22215 | -             | 0.9552                 |
| 3.0385 | 22500 | 0.0176        | -                      |
| 3.1060 | 23000 | 0.0177        | -                      |
| 3.1735 | 23500 | 0.0177        | -                      |
| 3.2411 | 24000 | 0.0176        | -                      |
| 3.3086 | 24500 | 0.0176        | -                      |
| 3.3761 | 25000 | 0.0174        | -                      |
| 3.4436 | 25500 | 0.0175        | -                      |
| 3.5111 | 26000 | 0.0175        | -                      |
| 3.5787 | 26500 | 0.0176        | -                      |
| 3.6462 | 27000 | 0.0176        | -                      |
| 3.7137 | 27500 | 0.0178        | -                      |
| 3.7812 | 28000 | 0.0176        | -                      |
| 3.8488 | 28500 | 0.0177        | -                      |
| 3.9163 | 29000 | 0.0176        | -                      |
| 3.9838 | 29500 | 0.0177        | -                      |
| 4.0    | 29620 | -             | 0.9552                 |
| 4.0513 | 30000 | 0.0177        | -                      |
| 4.1188 | 30500 | 0.0178        | -                      |
| 4.1864 | 31000 | 0.0176        | -                      |
| 4.2539 | 31500 | 0.0176        | -                      |
| 4.3214 | 32000 | 0.0175        | -                      |
| 4.3889 | 32500 | 0.0177        | -                      |
| 4.4564 | 33000 | 0.0176        | -                      |
| 4.5240 | 33500 | 0.0177        | -                      |
| 4.5915 | 34000 | 0.0176        | -                      |
| 4.6590 | 34500 | 0.0175        | -                      |
| 4.7265 | 35000 | 0.0178        | -                      |
| 4.7941 | 35500 | 0.0175        | -                      |
| 4.8616 | 36000 | 0.0175        | -                      |
| 4.9291 | 36500 | 0.0175        | -                      |
| 4.9966 | 37000 | 0.0176        | -                      |
| 5.0    | 37025 | -             | 0.9553                 |
