| Epoch  | Step  | Training Loss | foodbb-val_cosine_ap |
|:------:|:-----:|:-------------:|:--------------------:|
| 0.1690 | 500   | 0.1364        | -                    |
| 0.3381 | 1000  | 0.1345        | -                    |
| 0.5071 | 1500  | 0.1327        | -                    |
| 0.6761 | 2000  | 0.1258        | -                    |
| 0.8452 | 2500  | 0.078         | -                    |
| 1.0    | 2958  | -             | 1.0                  |
| 1.0142 | 3000  | 0.0451        | -                    |
| 1.1832 | 3500  | 0.0415        | -                    |
| 1.3523 | 4000  | 0.0387        | -                    |
| 1.5213 | 4500  | 0.0367        | -                    |
| 1.6903 | 5000  | 0.0355        | -                    |
| 1.8594 | 5500  | 0.034         | -                    |
| 2.0    | 5916  | -             | 0.5                  |
| 2.0284 | 6000  | 0.0328        | -                    |
| 2.1974 | 6500  | 0.0316        | -                    |
| 2.3665 | 7000  | 0.0313        | -                    |
| 2.5355 | 7500  | 0.0303        | -                    |
| 2.7045 | 8000  | 0.0296        | -                    |
| 2.8736 | 8500  | 0.0294        | -                    |
| 3.0    | 8874  | -             | 1.0                  |
| 3.0426 | 9000  | 0.0286        | -                    |
| 3.2116 | 9500  | 0.0283        | -                    |
| 3.3807 | 10000 | 0.0277        | -                    |
| 3.5497 | 10500 | 0.0273        | -                    |
| 3.7187 | 11000 | 0.0271        | -                    |
| 3.8878 | 11500 | 0.0269        | -                    |
| 4.0    | 11832 | -             | 1.0                  |
| 4.0568 | 12000 | 0.027         | -                    |
| 4.2258 | 12500 | 0.027         | -                    |
| 4.3949 | 13000 | 0.0266        | -                    |
| 4.5639 | 13500 | 0.0267        | -                    |
| 4.7329 | 14000 | 0.0265        | -                    |
| 4.9020 | 14500 | 0.0269        | -                    |
